id,name,published_at,url,area_name,salary_from,salary_to,salary_currency,employer_name,employer_url,snippet_requirement,snippet_responsibility,address_raw,address_lat,address_lng,address_metro_station_name
78191386,Менеджер по закупкам со знанием английского языка,2023-03-17T17:02:12+0300,https://hh.ru/vacancy/78191386,Москва,200000.0,,RUR,ВсеИнструменты.ру,https://api.hh.ru/employers/208707,"2. Умение формировать эффективные и долгосрочные партнерские взаимоотношения. 3. Базовая аналитика, широкий бизнес-кругозор. 4. Стратегическое мышление. Ориентация на результат. ","1. Поиск поставщиков по своим брендам в Европе, Турции, ОАЭ и тп. 2. Получение новых условий, договоренности об отсрочке. 3. ","Москва, Волгоградский проспект, 42к8",55.710905,37.71936,Текстильщики
78148984,Data Engineer (Apache NiFi),2023-03-16T16:23:30+0300,https://hh.ru/vacancy/78148984,Москва,,,,ПИК-специализированный застройщик,https://api.hh.ru/employers/12550,Опыт работы c ETL (NIFI или Informatica или Airflow или Spoon или другие). Знание и навыки использования следующих процессоров: Execute...,"...и записи данных. Разрабатывать и конфигурировать элементы данных из СУБД,REST, ESB,S3. Разрабатывать маппинг и преобразование данных к...",,,,
78147920,Инженер данных (Data Office),2023-03-16T16:02:47+0300,https://hh.ru/vacancy/78147920,Москва,,,,"СИБУР, Группа компаний",https://api.hh.ru/employers/3809,"Знания алгоритмов в сфере высоконагруженной обработки данных при помощи распределённых вычислений (MR). Умение работать с Avro, Parquet форматом данных (типы...","Разработкой и оптимизацией алгоритмов операционного анализа данных. Развитием практик DevSecOps, автомтизацией миграций и разработческих пайплайнов. Взаимодействием с аналитиками данных (data...","Москва, Кржижановского",55.680691,37.568273,Профсоюзная
77326234,Senior DevOps Engineer/SRE (BigData),2023-02-22T13:14:02+0300,https://hh.ru/vacancy/77326234,Москва,,,,ЦРПТ (Центр развития перспективных технологий),https://api.hh.ru/employers/3156389,Навыки администрирования ОС семейства Linux. Понимание основ построения масштабируемых отказоустойчивых систем и приложений. Опыт работы с технологиями Hadoop (HDFSHBase...,Поддержка процесса непрерывной интеграцииразвертывания сервисов в области аналитики больших данных (сборкатестированиеразвертывание). Поддержка инструментов  фреймворков для автоматизации тестирования...,,,,
75706286,Team Lead Backend (PHP),2023-03-17T09:17:18+0300,https://hh.ru/vacancy/75706286,Москва,300000.0,550000.0,RUR,EGGHEADS,https://api.hh.ru/employers/4562440,Самостоятельно программировать. За базу знаний Backend’а. У тебя есть опыт от 3 лет в роли разработчика PHP на любом...,"Мы ищем сильного Backend Lead на решения, связанные с аналитикой конкурентов, категорийным анализом, поиском ниши на маркетплейсах, а также системы...",,,,
73527245,Dev Lead Backend (PHP),2023-03-17T09:17:18+0300,https://hh.ru/vacancy/73527245,Москва,300000.0,550000.0,RUR,EGGHEADS,https://api.hh.ru/employers/4562440,Самостоятельно программировать. За базу знаний Backend’а. У тебя есть опыт от 3 лет в роли разработчика PHP на любом...,"Мы ищем сильного Backend Lead на решения, связанные с аналитикой конкурентов, категорийным анализом, поиском ниши на маркетплейсах, а также системы...",,,,
78156225,Аналитик группы поддержки продаж,2023-03-16T20:57:01+0300,https://hh.ru/vacancy/78156225,Москва,,,,"Иннотех, Группа компаний",https://api.hh.ru/employers/4649269,Опыт работы в области Data ScienceML. Понимание принципов применения ЖЦ данных и мат. моделей. Навыки планирования и оценки трудоемкости...,"Работа над прототипом в роли системного аналитикаразработчика. Подготовка проектной документации (функциональные требования, технические задания и решения, спецификации, инструкции и...",,,,
78178099,Руководитель отдела маркетинга,2023-03-17T12:21:21+0300,https://hh.ru/vacancy/78178099,Москва,,,,CREDIX,https://api.hh.ru/employers/3855897,"Опыт работы с Power BI, google data studio и bitrix24 будет вашим преимуществом. Активная жизненная и профессиональная позиция, высокий...","Управление комплексом маркетинга на основе данных — продвинутая аналитика. Управление отделом маркетинга — постановка планов, задач, контроль исполнение, обучение сотрудников. ",,,,
73869362,Младший web-аналитик,2023-03-16T14:43:42+0300,https://hh.ru/vacancy/73869362,Москва,,,,i-Media,https://api.hh.ru/employers/87968,"Опыт программирования - плюс (JavaScript, R или Python - большой плюс). Опыт работы с базами данных - плюс. Знание английского языка приветствуется. ","Разработка bi-отчетности в Microsoft Power BI, Google Data Studio и аналогичных инструментах. В дальнейшем - самостоятельное управление проектами по аналитике...","Москва, Электрозаводская улица, 24",55.78895,37.707727,
71807760,Аналитик CRM,2023-03-16T12:14:47+0300,https://hh.ru/vacancy/71807760,Москва,,,,ОКЕЙ – Федеральная розничная сеть,https://api.hh.ru/employers/1276,"Знание Excel - продвинутый пользователь (макросы, формулы, диаграммы). Опыт построения аналитики на транзакционных данных (клиентская статистика). Опыт анализа клиентского поведения. ",Формирование сегментационных моделей. Разработка алгоритма расчета персональных предложений и анализа результатов. Разработка и внедрение методологий анализа клиентского поведения. ,"Москва, Кировоградская улица, 23Ак1",55.60012,37.600873,Улица Академика Янгеля
78141200,Финансовый аналитик,2023-03-16T14:23:05+0300,https://hh.ru/vacancy/78141200,Москва,,,,QIWI,https://api.hh.ru/employers/3125,"Если ты знаком с Python для анализа данных( Pandas, NumPy). Умеешь писать SQL запросы к базам данных. Имеешь опыт работ...",...на основе собираемых данных. Проводить оценку эффективности реализованных проектов и разрабатывать системы мониторинга. Делать Ad-hoc аналитику для выявления точек...,,,,
